Country Name,Spending,Unit,2010,2011,2012,2013,2014,2015,2016,2017,2018
Argentina,Population,Current, 40.79 , 41.26 , 41.73 , 42.20 , 42.67 , 43.13 , 43.59 , 44.04 , 44.49 
Australia,Population,Current, 22.03 , 22.34 , 22.73 , 23.13 , 23.48 , 23.82 , 24.19 , 24.60 , 24.99 
Brazil,Population,Current, 195.71 , 197.51 , 199.29 , 201.04 , 202.76 , 204.47 , 206.16 , 207.83 , 209.47 
Canada,Population,Current, 34.00 , 34.34 , 34.71 , 35.08 , 35.44 , 35.70 , 36.11 , 36.54 , 37.06 
China,Population,Current," 1,337.71 "," 1,344.13 "," 1,350.70 "," 1,357.38 "," 1,364.27 "," 1,371.22 "," 1,378.67 "," 1,386.40 "," 1,392.73 "
Germany,Population,Current, 81.78 , 80.27 , 80.43 , 80.65 , 80.98 , 81.69 , 82.35 , 82.66 , 82.93 
France,Population,Current, 65.03 , 65.34 , 65.66 , 66.00 , 66.32 , 66.59 , 66.86 , 66.87 , 66.99 
United Kingdom,Population,Current, 62.77 , 63.26 , 63.70 , 64.13 , 64.61 , 65.13 , 65.60 , 66.06 , 66.49 
Indonesia,Population,Current, 241.83 , 245.12 , 248.45 , 251.81 , 255.13 , 258.38 , 261.55 , 264.65 , 267.66 
India,Population,Current," 1,234.28 "," 1,250.29 "," 1,265.78 "," 1,280.85 "," 1,295.60 "," 1,310.15 "," 1,324.51 "," 1,338.66 "," 1,352.62 "
Italy,Population,Current, 59.28 , 59.38 , 59.54 , 60.23 , 60.79 , 60.73 , 60.63 , 60.54 , 60.43 
Japan,Population,Current, 128.07 , 127.83 , 127.63 , 127.45 , 127.28 , 127.14 , 126.99 , 126.79 , 126.53 
"Korea, Rep.",Population,Current, 49.55 , 49.94 , 50.20 , 50.43 , 50.75 , 51.01 , 51.25 , 51.47 , 51.64 
Mexico,Population,Current, 114.09 , 115.70 , 117.27 , 118.83 , 120.36 , 121.86 , 123.33 , 124.78 , 126.19 
Russian Federation,Population,Current, 142.85 , 142.96 , 143.20 , 143.51 , 143.82 , 144.10 , 144.34 , 144.50 , 144.48 
Saudi Arabia,Population,Current, 27.42 , 28.27 , 29.16 , 30.05 , 30.92 , 31.72 , 32.44 , 33.10 , 33.70 
Turkey,Population,Current, 72.33 , 73.44 , 74.65 , 75.93 , 77.23 , 78.53 , 79.82 , 81.10 , 82.32 
